# SIMULATION: fluxes
# MODEL_VERSION: 5.0.0.rc1
YEAR	MONTH	DAY	OUT_PREC	 OUT_RAINF	 OUT_SNOWF	 OUT_AIR_TEMP	 OUT_SWDOWN	 OUT_LWDOWN	 OUT_PRESSURE	 OUT_WIND	 OUT_DENSITY	 OUT_REL_HUMID	 OUT_QAIR	 OUT_VP	 OUT_VPD	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_EVAP	 OUT_SWE	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_ALBEDO	 OUT_SOIL_TEMP_0	 OUT_SOIL_TEMP_1	 OUT_SOIL_TEMP_2
1949	01	01	4.4256	 0.0000	 4.4256	 -13.9613	 36.7355	 207.6577	 80.9119	 4.5100	 1.0807	 68.9288	 0.0009	 0.1185	 0.0707	 0.0005	 0.3664	 0.5526	 2.6200	 818.6869	 817.5278	 543.7545	 0.8217	 -12.0300	 -9.7183	 -7.7443
1949	01	02	0.0000	 0.0000	 0.0000	 -18.6988	 59.6353	 163.9744	 80.5625	 2.6500	 1.0961	 60.5233	 0.0005	 0.0611	 0.0687	 0.0000	 0.3656	 0.1589	 2.5070	 818.3086	 817.5297	 542.4890	 0.6982	 -18.0018	 -16.6608	 -13.3193
1949	01	03	0.0000	 0.0000	 0.0000	 -22.1961	 60.0211	 154.9455	 80.2998	 0.6900	 1.1076	 63.3255	 0.0004	 0.0477	 0.0448	 0.0000	 0.3647	 0.0186	 2.4822	 817.9326	 817.5308	 541.2266	 0.6887	 -21.6605	 -20.3412	 -16.2747
1949	01	04	0.0000	 0.0000	 0.0000	 -20.6371	 52.2835	 168.9904	 80.4217	 2.0700	 1.1023	 71.3794	 0.0005	 0.0664	 0.0349	 0.0000	 0.3639	 0.0240	 2.4493	 817.5587	 817.5313	 539.9671	 0.5735	 -20.4783	 -19.5652	 -15.6515
1949	01	05	2.3256	 0.0000	 2.3256	 -17.8580	 37.9797	 195.3202	 80.6285	 1.9300	 1.0932	 77.0805	 0.0007	 0.0955	 0.0364	 0.0000	 0.3630	 0.0642	 4.4816	 817.1870	 817.5310	 538.7106	 0.8500	 -18.0398	 -17.5440	 -14.0285
1949	01	06	5.4504	 0.0000	 5.4504	 -13.9511	 31.8558	 216.3753	 80.9138	 3.1800	 1.0806	 78.6544	 0.0011	 0.1399	 0.0456	 0.0000	 0.3622	 0.0826	 9.7328	 816.8174	 817.5300	 537.4571	 0.8500	 -14.1318	 -13.7779	 -11.0042
1949	01	07	2.1504	 0.0182	 2.1322	 -11.4673	 45.3862	 207.7619	 81.0859	 5.6600	 1.0729	 63.1823	 0.0010	 0.1286	 0.1203	 0.0000	 0.3614	 0.6370	 11.4078	 816.4499	 817.5283	 536.2066	 0.8500	 -11.5335	 -11.1643	 -8.9055
1949	01	08	0.4992	 0.0000	 0.4992	 -19.3278	 47.1199	 181.1121	 80.5166	 2.1400	 1.0981	 60.5275	 0.0005	 0.0584	 0.0622	 0.0000	 0.3605	 0.0617	 11.8409	 816.0846	 817.5259	 534.9590	 0.8500	 -18.1739	 -16.3864	 -13.0989
1949	01	09	0.0000	 0.0000	 0.0000	 -24.0242	 64.2909	 149.8163	 80.1600	 0.3700	 1.1138	 61.1060	 0.0003	 0.0373	 0.0402	 0.0000	 0.3597	 0.0024	 11.8455	 815.7212	 817.5228	 533.7145	 0.7142	 -23.2986	 -21.7363	 -17.3950
1949	01	10	0.0000	 0.0000	 0.0000	 -23.2358	 64.0834	 153.0390	 80.2209	 0.3700	 1.1111	 64.6559	 0.0003	 0.0446	 0.0385	 0.0000	 0.3588	 0.0016	 11.8377	 815.3599	 817.5191	 532.4728	 0.7092	 -23.1016	 -22.1163	 -17.7001
